term,college,subject_code,subject_label,crn,course,section,title,course_type,meeting_dates,time,days,hours,room,instructor,seats,enrolled,exam_meeting_dates,exam_time,exam_days,exam_room,description
202530,ALL,COMP,Computer Science,2745,COMP 4447,101,Data Science Tools 1,Online/Distance,31-MAR-2025 to 08-JUN-2025,7:00PM-8:50PM,M,4,,"Rasool, Rahim",20,10,,,,,
202530,ALL,COMP,Computer Science,2993,COMP 4448,101,Data Science Tools 2,Online/Distance,31-MAR-2025 to 08-JUN-2025,5:00PM-6:50PM,M,4,,"Parada San Martin, Daniel A.",20,8,,,,,
202530,ALL,COMP,Computer Science,3547,COMP 4449,1,Data Science Capstone,Lecture,31-MAR-2025 to 08-JUN-2025,7:00PM-8:50PM,"M,W",4,ECS 400,"Sawle, Paul L.",20,9,,,,,
202530,ALL,COMP,Computer Science,3098,COMP 4449,101,Data Science Capstone,Online/Distance,31-MAR-2025 to 08-JUN-2025,5:00PM-6:50PM,W,4,,"Rasool, Rahim",20,5,,,,,
202530,ALL,COMP,Computer Science,4954,COMP 4525,0,Adv. Human Centered AI,Seminar,31-MAR-2025 to 08-JUN-2025,2:00PM-4:50PM,W,4,ECS 400,"Hutt, Stephen J.",2,2,,,,,
202530,ALL,COMP,Computer Science,4237,COMP 4531,1,Deep Learning,Lecture,31-MAR-2025 to 08-JUN-2025,5:00PM-6:50PM,"M,W",4,ECS 200,"Dalton, Donald A.",30,20,,,,,
202530,ALL,COMP,Computer Science,4235,COMP 4531,101,Deep Learning,Online/Distance,31-MAR-2025 to 08-JUN-2025,5:00PM-6:50PM,T,4,,"Dalton, Donald A.",20,19,,,,,
202530,ALL,COMP,Computer Science,2746,COMP 4581,101,Algorithms for Data Science&AI,Online/Distance,31-MAR-2025 to 08-JUN-2025,5:00PM-6:50PM,T,4,,"Kossek, Wojciech K.",20,5,,,,,
202530,ALL,COMP,Computer Science,4157,COMP 4703,3,Adv Topics-Artificial Intell,Lecture,31-MAR-2025 to 08-JUN-2025,10:00AM-11:50AM,"M,W",4,MRH 006,"GauthierDickey, Christopher J.",4,7,09-JUN-2025 to 09-JUN-2025,10:00AM-11:50AM,M,MRH 006,
202530,ALL,COMP,Computer Science,3428,COMP 4705,2,Advanced Topics-Programming,Lecture,31-MAR-2025 to 08-JUN-2025,10:00AM-11:50AM,"T,R",4,ECS 301,"Liu, Faan Tone",6,6,10-JUN-2025 to 10-JUN-2025,10:00AM-11:50AM,T,ECS 301,
202530,ALL,COMP,Computer Science,2195,COMP 4722,1,Network Security,Lecture,31-MAR-2025 to 08-JUN-2025,7:00PM-8:50PM,"T,R",4,ECS 201,"Dewri, Rinku",15,18,,,,,
202530,ALL,COMP,Computer Science,3002,COMP 4723,1,Ethical Hacking,Lecture,31-MAR-2025 to 08-JUN-2025,5:00PM-6:50PM,"M,W",4,ECS 410,"Evans, Nathan S.",14,16,,,,,
202530,ALL,COMP,Computer Science,2804,COMP 4799,1,Cybersecurity Capstone,Lecture/Lab,31-MAR-2025 to 08-JUN-2025,,,4,,"Evans, Nathan S.",2,0,,,,,
